,A,AB,AC,AF,AK,B,C,D,E,F,G,GJ,H,J,K
9.0,15342,17766,16805,17777,17766,15603,,16170,15607,15607,16170,19069,,15603,15603
24.0,16527,19139,18103,19150,19139,16808,,17418,16813,16813,17418,20541,,16808,16808
38.0,17632,20419,19314,20430,20419,17932,,18584,17937,17937,18584,21915,,17932,17932
