,A,B,C,D,E,EF,F,G,H,I,J,K,L,M,N,O
6.0,10075,10090,10047,10027,10087,9579,9752,10274,10169,10787,10108,10113,10244,10042,9128,8989
12.0,10565,10577,10396,10515,10465,9469,10091,10608,10598,11086,10662,10502,10247,10419,9437,9616
19.0,10868,10898,10918,10839,10802,9714,10431,10903,10911,11361,10972,10918,10838,10746,9727,9918
