,NB,NC,NC-A,NC-B,NC-C,NC-D,ND,SA,SB,SC,SC-A,SC-B,SC-C,SC-D,SD
11.0,15228,15221,16992,15574,15854,16411,16378,16618,15223,14854,16336,14817,16146,16209,16378
30.0,16057,16057,15329,16604,16852,16711,15596,15565,16143,16143,14981,16064,17749,17421,15356
48.0,16990,17960,16187,16775,17934,17707,17102,16645,16991,18013,16283,17608,18255,18707,17280
