,A,B,C,D,E,F,G,H,I,J
6.0,,4782372,,4562664,4681856,,6558327,,,5599728
16.0,,5020545,,4787384,4926320,,6859737,,,5933616
27.0,,5282358,,5031184,5194860,,7190697,,,6334992
