,A,B,B & C,C,D,E,F
6.0,4735042,4859932,8128648,4946205,4892020,4476780,4640580
10.0,4854694,4964278,8354712,5076126,5023492,4738230,4764375
15.0,4956278,5147395,8631328,4947306,4989782,4892580,4920615
