,A,B,C,D,E,F,G,H,J
8.0,14748,17284,17615,14747,15569,14937,14539,16741,15848
16.0,16510,17698,18052,14945,15678,15600,14705,17025,16936
24.0,16911,16897,16006,18395,16274,16493,16626,17782,16854
