,11,16,19,20,22,24,5,7,8
9.0,8402,10029,10500,10017,10161,10500,10017,10161,10029
20.0,8865,8749,9160,8738,10675,9160,8738,8865,8749
29.0,9243,9123,9551,9112,11095,9551,9112,9243,9123
