,A,B,C,D,F,G,H
2.0,9790500,7444992,8279766,10893838,6746250,6773550,9193704
6.0,10185138,7356960,8240122,11096562,6944700,6970950,9586846
9.0,10335084,7504728,8437176,11275234,7081200,7310625,9713666
