,1,10,12,13,14,16,17,19,21,22,24,4,5,7,9
9.0,1851660,2230062,2576412,2247069,2085201,2396870,2418210,2236264,2457714,2230062,1901190,2514438,2402946,2228436,2419180
20.0,1925574,2319548,2674116,2338704,2244238,2492415,2514725,2325307,2586321,2319548,1937766,2617128,2499279,2323896,2514725
29.0,2042541,2419223,2867931,2437044,2322206,2671865,2653920,2421881,2637666,2419223,2065782,2694571,2627397,2423796,2671865
