,1,2,3,4,5,6,7,8,A1,A4,A5,A6,A7,A8
4.0,9498,9684,9666,9612,9612,9612,9684,9498,9124,10358,9831,9579,9636,9498
8.0,9740,9932,9913,9858,9858,9858,9932,9740,9299,9759,10087,9822,9883,9739
11.0,9928,10125,10501,9443,9601,10187,10125,9928,9687,9941,9599,9814,10074,9925
