,A,B,C,D,E,F,G,H,I,J,J-K,JK,K,K & J
3.0,4454235,3405085,4757740,4085025,4194240,4130400,4125850,5197500,5197500,5197500,,,5197500,
6.0,4527880,3462025,4840100,4152450,4329606,4204320,4197560,5289240,5289240,5289240,,,5289240,
9.0,4601010,3518600,4768560,4067300,4399533,4087265,4190670,5158400,5158400,5158400,,,5158400,
