,A,B,C,D,F,G,H
7.0,7264140,10371988,9838290,7711572,9771392,10750683,7467636
18.0,7563268,10917479,10398850,8066892,10592400,11051086,7820140
30.0,7894088,11438291,11035744,8254704,10832184,11607640,8204336
