,1,2,3,4,5,6,7,8,D2,D3,D4,D6
6.0,12895,12603,12603,11802,12895,12871,12871,12871,12456,12603,12969,13005
13.0,14333,14386,14386,14333,14333,14321,14321,14321,14737,14386,13915,14397
20.0,13957,14767,14767,14720,13461,14708,14708,14708,15001,14767,14521,14666
