,A,B,C,D,E,F,G,H,J,K,L,M,N
6.0,2727582,3197904,2885648,3108688,3131264,2874300,2588420,3212160,3078938,3567835,2615800,3183561,2919632
12.0,2742102,3294192,3053472,3317040,3303440,2959060,2672140,3286640,3291288,3743453,2561680,3292422,3019781
19.0,2985312,3508256,3089104,3521856,3433456,3332160,2920310,3373440,3420342,3967889,2668380,3328432,3377456
