,A,B,C,D,E,F,G,H,J
11.0,33351710,14012610,9645780,11051950,12247160,12534046,14725704,12076988,11051802
22.0,35359554,16215267,10547001,12268620,10969370,14133630,16085280,12577804,12939669
32.0,38095287,17177415,11199104,12893790,11656656,15355592,17162232,13730990,13603848
