,1,10,11,1112,12,14,2,3,4,5,6,7,8,9,B409,B414
4.0,703,440,545,,382,378,544,625,382,403,403,412,370,360,360,378
8.0,703,440,545,,382,378,544,408,337,403,354,370,370,360,360,378
13.0,518,440,596,,382,378,430,408,440,372,456,329,370,360,360,378
