,1,2,3,4,5,6,7,8
6.0,13897,12282,13869,13793,13476,13473,13854,12492
14.0,14445,14598,14894,14540,14249,14436,14555,12954
23.0,14818,15224,15519,15157,14872,15053,15007,13866
