,A,B,C,D,E,F,G,H,I,J,K
4.0,5624421,5259320,4413225,4488674,5326200,5218794,7384762,5998778,6113462,6135091,6113462
10.0,5890962,5483280,4577119,4603111,5665000,5504884,4621522,5230888,4172193,5300890,4341800
15.0,6102481,5676440,4693722,4734876,5789960,5656042,6686100,4552639,7679454,5459560,4465900
