,A,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B5,B6,B7,B7B8,B8
2.0,12714,12342,12275,12714,12652,12674,12674,12248,12714,12607,12850,13235,12674,10745,10813,12652
5.0,12969,12929,12525,12969,12905,12927,12927,12708,12969,12863,13114,13301,12927,10933,11024,12484
8.0,13229,13312,12784,13229,13163,13185,13185,12976,13229,13115,13382,13565,13185,11158,11229,13163
