,A,B,C,D,E,G,H,I,J,K,L,M,O,P
3.0,5753220,4665800,5306220,4578204,5050634,4650630,4540556,4688670,4652270,4524760,4269510,4289922,4652270,4698630
6.0,5915140,4802330,5463660,4712787,5192760,4787570,4674280,4827695,4788800,4658010,4395006,4416174,4788800,4836825
9.0,6081200,4938040,5616590,4846179,5338062,4923280,4807600,4965060,4924920,4791260,4520124,4541670,4924920,4974190
