,A,B,C,D,E,F,H
3.0,5303694,7091360,6685952,5282667,5912676,7102827,5912676
6.0,5384379,7209918,6801264,5356995,6001156,7209918,6001156
9.0,5465553,6946461,6899157,5443059,6089083,7315038,6089083
