,A,B,C,D,E,F,G,H,I,J
4.0,15336,17733,17051,14644,15659,15423,16632,16540,15624,15258
9.0,15641,18119,17411,15709,16067,15815,17781,17335,15998,15953
14.0,15695,18504,17769,15980,16391,16493,18194,17695,16270,16309
