,A,B,CD,D,E,F,G,H
3.0,12470130,11873160,,12904200,9651160,9309200,10664605,11378610
6.0,12787630,12175240,,13232500,9896800,9545500,10935610,11667210
8.0,12998450,12375840,,13452260,10060560,9703600,11116280,11860350
