,1,2,3,4,5,6,7,8,A1,A3,A6,C1,C2,C4,C6,C7,C8,E2,E4,E5,E7,E8,G2,G3,G4,G5,G6,G7,G8,I1,I2,I3,I4,I5,I6,I8
4.0,5766630,5042730,5067520,4600220,4624005,5213300,5213300,5762832,5575042,5213300,4511040,4840870,4560850,5064195,5172970,5345390,5729750,5244750,4711775,4873245,4872160,5731604,4677540,4953560,4719480,5117040,5254740,5146700,5738356,5252212,4923800,5213300,4524845,4787150,5214040,5887322
8.0,6136302,5399780,5394230,4713450,5115785,5399780,5399780,6132082,5498660,5399780,5548150,4996260,4621050,5235045,5506340,5532240,5256200,5491540,5076255,5035720,4941350,6096634,4814440,4861430,5005570,5286600,5497830,5309870,6101276,4999950,5154450,5399780,4822995,4972740,5389790,6115202
12.0,5618086,4932840,4936170,4239760,5243420,4909530,4932840,5615976,5491486,4932840,4798530,5150010,4558400,5413600,5228470,5715760,5245130,5189250,4301065,5204560,5002770,5600362,4620700,4863650,5270555,4913280,5208120,5474150,5602050,5136480,4713100,4932840,4973410,5173070,5562210,5577152
