,A,B,C,D,E,F,G,H
4.0,16417,17047,17183,17243,17287,16919,17638,16514
10.0,17042,17203,17709,17694,17726,17104,18164,17091
15.0,17512,17683,17968,18203,18209,17873,18606,17561
