,A1-B,A2,A3,A5,B1,B2,B3,B4,B5,PORTION B2
3.0,,10620,9524,,10601,11000,9354,9360,7069,10168
6.0,,10831,9713,,10817,10259,9540,9546,7210,10370
9.0,,11618,9903,,11033,11438,9727,9732,7350,10572
