,A,C,D,E,F,H,J,K,L,M,N
7.0,9191065,4854058,5378380,5284285,4636496,8549030,6380856,6133305,6329250,6601037,6598608
16.0,9278300,4987274,5920400,5405440,4783287,9337795,7045464,6686883,6458750,6817223,6805266
22.0,9417730,5193976,6137905,5605520,5007365,10132400,6836484,6972667,6776500,7080223,6992832
