,A,A & B,B,C,D,D3,E,F,G,G3,H,I,J
3.0,6143250,,5291650,5522880,6484920,,3311700,3104110,4690800,1549278,4535600,,
6.0,6259500,,5238350,5336760,6560580,,3374700,3165610,4781400,1580205,4619700,,
8.0,6337500,,5304000,5404080,6643260,,3416700,3206610,5061600,1600884,4676540,,
