,D,E,F,G,H,J,K,L,N
2.0,3729916,3958024,3074659,3392928,3366300,2954612,2777479,2937012,3607977
3.0,3916154,3950968,3113386,3341412,3391150,2973364,3025948,2903854,3632933
5.0,3938220,3967824,3196136,3353400,3404450,2842100,2710445,2738064,3669633
