,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
6.0/F低層A,6.0,低層,A,9168535,16823,545,361,4,HQB
15.0/F中層A,15.0,中層,A,9959875,18275,545,383,4,HQB
24.0/F高層A,24.0,高層,A,10142995,18611,545,371,3,HQB
6.0/F低層B,6.0,低層,B,10475595,17907,585,364,4,HQB
15.0/F中層B,15.0,中層,B,10980450,18770,585,381,4,HQB
24.0/F高層B,24.0,高層,B,11410425,19505,585,378,4,HQB
6.0/F低層C,6.0,低層,C,10052640,17184,585,365,4,HQB
15.0/F中層C,15.0,中層,C,10882170,18602,585,328,3,HQB
24.0/F高層C,24.0,高層,C,10952955,18723,585,394,4,HQB
6.0/F低層D,6.0,低層,D,10463375,15275,685,282,4,HQB
15.0/F中層D,15.0,中層,D,10996305,16053,685,317,4,HQB
24.0/F高層D,24.0,高層,D,11283320,16472,685,237,3,HQB
6.0/F低層E,6.0,低層,E,11625820,16972,685,346,3,HQB
15.0/F中層E,15.0,中層,E,12201220,17812,685,354,3,HQB
24.0/F高層E,24.0,高層,E,12781415,18659,685,367,3,HQB
6.0/F低層F,6.0,低層,F,10273770,17562,585,357,4,HQB
15.0/F中層F,15.0,中層,F,10907910,18646,585,379,4,HQB
24.0/F高層F,24.0,高層,F,11341395,19387,585,381,4,HQB
6.0/F低層G,6.0,低層,G,10401885,17781,585,325,4,HQB
15.0/F中層G,15.0,中層,G,10897965,18629,585,338,4,HQB
24.0/F高層G,24.0,高層,G,11319750,19350,585,338,4,HQB
6.0/F低層H,6.0,低層,H,9180525,16845,545,338,3,HQB
15.0/F中層H,15.0,中層,H,9427955,17299,545,328,3,HQB
24.0/F高層H,24.0,高層,H,10038900,18420,545,394,4,HQB
