,A,B,B & C,C,D,E,F,G,H
7.0,17705,17885,,17497,17933,17632,17398,17402,17739
16.0,19043,19029,,18554,19030,18722,18727,18423,18864
25.0,19942,20130,,19430,19771,19611,19278,19280,20007
