,1,2,3,4,5,6,7,8
4.0,11329,11128,11090,11188,11059,11128,11319,10357
8.0,11571,11339,11298,11395,11271,11339,11539,10554
13.0,11839,11416,11552,11648,11530,11595,11853,11590
