,A,A & F,AF,B,B & C,BC,C,D,E,F
5.0,10891,10027,10027,11196,10356,10356,11355,11167,11315,10946
12.0,11212,10387,10387,11366,8611,8611,10949,11554,11745,11279
19.0,11395,10725,10725,11512,8897,8897,11287,11944,12134,11655
