,A,B,C,D,F,G,H,J,JB
2.0,9730,9393,9393,9393,9730,9693,9481,9393,
4.0,9831,9489,9489,9489,9831,9403,9623,9489,
7.0,9962,9617,9617,9617,9962,9527,9707,9617,
