,A01,A02,A03,A05,A06,A07,A08,A09,D01,D02,D03,D05,D06,D07,D08
4.0,,,,,,,,,,,,,,,
8.0,,,,,,,,,,,,,,,
11.0,,,,,,,,,,,,,,,
