,1,2,3,4,5,6,7,8,A2(U)
4.0,16103,15226,14545,16287,15668,13145,15226,15586,17248
9.0,16826,15911,15364,17018,16375,13717,15911,16276,18023
14.0,17553,16604,15598,17755,18046,15298,16604,17001,18805
