,A,B,C,D,E,F,G,H,I,J,K,L,M,N
5.0,426,381,370,370,470,370,368,332,332,421,347,368,368,374
8.0,426,381,370,370,470,370,368,332,332,421,347,368,368,374
10.0,426,381,370,370,470,370,368,332,332,307,347,368,368,374
