,A,B,C,D,E,F,G,H,J
17.0,14417,14804,14193,13968,15215,14031,12831,15693,14776
32.0,14947,15285,14969,15222,15806,13885,14854,16354,14411
49.0,14831,15895,14740,15514,16259,14674,15891,16021,15755
