,1,2,3,4,5,6,7,8
3.0,14941,14315,14989,14916,15409,15361,15289,14491
7.0,15341,14520,15313,15529,16022,15886,15686,14816
11.0,15734,15081,16475,15933,16123,16297,16004,15461
