,A,B,B OF FI,B1,C,C1,D,D1,E,F,F1,F1A,F1B,G,G1,H,H1,I,J,K,L,L1
2.0,6658,6840,,6892,6504,6881,6791,6909,6849,6664,6650,,,6695,6692,7624,7782,6781,8850,7460,6636,6748
4.0,6730,6913,,6965,6569,6954,6862,6983,6922,6716,6722,,,6767,6764,7711,6771,6854,8940,7535,6708,6820
7.0,6833,7017,,,6662,7059,6807,7845,7027,6852,6824,,,6870,6867,7833,6874,6958,9080,7645,6810,6924
