,subjFloor,floorLv,unitNo,price,npsf,nfa
6.0/F低層1,6.0,低層,1,2165562,6066,357
13.0/F中層1,13.0,中層,1,2312646,6478,357
21.0/F高層1,21.0,高層,1,2324427,6511,357
6.0/F低層11,6.0,低層,11,2727868,5522,494
13.0/F中層11,13.0,中層,11,2818270,5705,494
21.0/F高層11,21.0,高層,11,2922010,5915,494
6.0/F低層2,6.0,低層,2,1784094,6682,267
13.0/F中層2,13.0,中層,2,1846038,6914,267
21.0/F高層2,21.0,高層,2,1916526,7178,267
6.0/F低層4,6.0,低層,4,2473765,5635,439
13.0/F中層4,13.0,中層,4,2557175,5825,439
21.0/F高層4,21.0,高層,4,2653316,6044,439
6.0/F低層7,6.0,低層,7,2441312,5704,428
13.0/F中層7,13.0,中層,7,2521776,5892,428
21.0/F高層7,21.0,高層,7,2614652,6109,428
6.0/F低層8,6.0,低層,8,2238626,5938,377
13.0/F中層8,13.0,中層,8,2315911,6143,377
21.0/F高層8,21.0,高層,8,2404883,6379,377
6.0/F低層9,6.0,低層,9,2245412,5956,377
13.0/F中層9,13.0,中層,9,2322320,6160,377
21.0/F高層9,21.0,高層,9,2410915,6395,377
