,subjFloor,floorLv,unitNo,price,npsf,nfa
5.0/F低層1,5.0,低層,1,4267509,9547,447
13.0/F中層1,13.0,中層,1,4387305,9815,447
21.0/F高層1,21.0,高層,1,4406079,9857,447
5.0/F低層2,5.0,低層,2,4206129,9759,431
13.0/F中層2,13.0,中層,2,4348790,10090,431
21.0/F高層2,21.0,高層,2,4428525,10275,431
5.0/F低層3,5.0,低層,3,4437434,9502,467
13.0/F中層3,13.0,中層,3,4563057,9771,467
21.0/F高層3,21.0,高層,3,4714365,10095,467
5.0/F低層4,5.0,低層,4,4551309,9423,483
13.0/F中層4,13.0,中層,4,4679787,9689,483
21.0/F高層4,21.0,高層,4,4872504,10088,483
5.0/F低層5,5.0,低層,5,4296564,9612,447
13.0/F中層5,13.0,中層,5,4417701,9883,447
21.0/F高層5,21.0,高層,5,4544649,10167,447
5.0/F低層6,5.0,低層,6,4216904,9784,431
13.0/F中層6,13.0,中層,6,4339308,10068,431
21.0/F高層6,21.0,高層,6,4422060,10260,431
5.0/F低層7,5.0,低層,7,4396338,9414,467
13.0/F中層7,13.0,中層,7,4470124,9572,467
21.0/F高層7,21.0,高層,7,4595747,9841,467
5.0/F低層8,5.0,低層,8,4563867,9449,483
13.0/F中層8,13.0,中層,8,4660467,9649,483
21.0/F高層8,21.0,高層,8,4761414,9858,483
