,A,B,C,D,E,F,G,H
9.0,10513,10524,10271,10147,10137,10361,10482,11993
18.0,11077,10590,10356,10608,10149,10786,10649,12382
26.0,11506,10868,10696,10860,10687,11167,10999,12781
