,A,AB,B,C,D,E,F,G,H
14.0,16893,25955,17317,16404,15539,15625,15410,17943,18352
30.0,19658,27174,17588,17998,16430,16842,17241,19636,19460
46.0,18973,26986,19189,19226,17498,17194,17998,17550,20281
