,1,12,2,3,4,5,6,7,8,A1,A2,A3,A6,A8,C1,C4,C7,E2,E5,G2,G5,G6,G7,G8,I1,I3,I4,I5,I6,I8
4.0,13047,11978,12561,13110,14101,13385,12996,13833,13916,13077,13177,14423,13074,13925,13767,14767,13727,12327,13922,13174,14871,13178,14078,12859,13906,13384,14232,12968,14011,13047
8.0,13486,12380,13443,13548,14563,13881,13436,13838,13486,13516,13618,15310,13517,14356,14233,14947,14174,12740,14441,13591,15661,13618,14539,13291,14378,13835,14367,13389,14485,13486
12.0,13917,12738,13886,13984,13783,14295,13583,12042,13917,13948,13962,15434,13968,14837,14726,15397,14717,13495,14814,14019,15813,14054,15074,13716,14851,14294,14814,13818,15210,13948
