,A,B,C,D,E,F,G,H,J,K,L,M
10.0,12691,12548,13157,13302,12648,12854,13197,13288,12490,13931,13989,13038
21.0,13502,13298,13792,14156,13356,13528,13850,14206,12886,14618,14000,13434
31.0,14035,13845,14251,14708,14019,14031,13838,14662,13688,14353,14485,13616
