,A,AB,B,C,D,E,E & F,EF,F
11.0,14249200,29778125,16339612,15848008,16108180,17585662,29536200,31412811,14119067
21.0,15336065,32254625,17678358,16151542,18334899,19746394,31992708,34024174,15271362
31.0,16188836,34731125,19223542,17192230,19659046,21242763,34450830,36637236,15751182
