,A,B,C,D,E,F,G
12.0,20381733,23356882,12877466,13836272,7732260,7647825,7873476
28.0,21180231,25043334,13006968,14939062,8019750,8167845,8393684
52.0,22941792,26924254,14633726,15305328,8932170,8793260,8752926
