,A,B,C,D,E,E & F,F,G,H
8.0,8211249,8988650,8293040,8400907,9179544,24783849,9802500,15659324,16286767
20.0,8717200,9411090,8338470,8846191,9698876,26320920,10479375,16586060,16219238
33.0,9287352,9880140,8753240,9399851,10393658,27984291,11071250,17478672,17068174
