,A,B,C,CD,D,E,F,G,H
16.0,24712459,24980006,24846749,,24084395,21522760,21297360,21522760,23057440
28.0,27371401,27430282,27457140,,26369391,25048800,23080960,25048800,25611320
41.0,29668793,30126412,29732839,,28842393,27725180,26750080,27725180,27566420
