,subjFloor,floorLv,unitNo,price,npsf,nfa
8.0/F低層A,8.0,低層,A,5152836,11658,442
20.0/F中層A,20.0,中層,A,5643880,12827,440
33.0/F高層A,33.0,高層,A,5578742,12766,437
8.0/F低層B,8.0,低層,B,4967792,9896,502
20.0/F中層B,20.0,中層,B,5288360,10472,505
33.0/F高層B,33.0,高層,B,6237621,12303,507
8.0/F低層C,8.0,低層,C,5911641,10887,543
20.0/F中層C,20.0,中層,C,5739811,10649,539
33.0/F高層C,33.0,高層,C,6445145,12047,535
8.0/F低層D,8.0,低層,D,4693227,12929,363
20.0/F中層D,20.0,中層,D,4848774,13582,357
33.0/F高層D,33.0,高層,D,4975888,14096,353
8.0/F低層E,8.0,低層,E,5569596,10629,524
20.0/F中層E,20.0,中層,E,5529248,10552,524
33.0/F高層E,33.0,高層,E,6029407,11441,527
8.0/F低層F,8.0,低層,F,5534550,11295,490
20.0/F中層F,20.0,中層,F,5176323,10629,487
33.0/F高層F,33.0,高層,F,5941132,12326,482
8.0/F低層G,8.0,低層,G,5026424,11372,442
20.0/F中層G,20.0,中層,G,4801280,10912,440
33.0/F高層G,33.0,高層,G,5532404,12689,436
8.0/F低層H,8.0,低層,H,5673272,11212,506
20.0/F中層H,20.0,中層,H,5978144,11768,508
33.0/F高層H,33.0,高層,H,6224524,12253,508
8.0/F低層J,8.0,低層,J,5701003,10577,539
20.0/F中層J,20.0,中層,J,5677826,10534,539
33.0/F高層J,33.0,高層,J,6300695,11777,535
8.0/F低層K,8.0,低層,K,4730979,13033,363
20.0/F中層K,20.0,中層,K,4834851,13543,357
33.0/F高層K,33.0,高層,K,4857633,13761,353
8.0/F低層L,8.0,低層,L,5821920,11196,520
20.0/F中層L,20.0,中層,L,5519816,10534,524
33.0/F高層L,33.0,高層,L,6416752,12176,527
8.0/F低層M,8.0,低層,M,5660480,11552,490
20.0/F中層M,20.0,中層,M,5727607,11761,487
33.0/F高層M,33.0,高層,M,5980174,12407,482
