,A,B,C,D,E,F,G,H,I
4.0,15832,16377,16339,14278,14314,16460,16833,14313,16699
9.0,16516,17066,16654,14581,14476,17547,17235,14615,17090
14.0,16895,17584,16415,14876,14692,17929,17615,14663,17464
