,A,B,C,D,DE,E,EF,F,G
5.0,25875,24523,26366,21708,25604,22365,22750,27485,22963
9.0,25687,25656,26809,21544,26581,22674,23075,27937,23259
15.0,27664,26714,27746,22179,27214,23155,23655,28572,23727
