,1,10,11,12,15,16,17,18,19,2,20,21,22,3,5,6,7,8,9
16.0,17930,16109,17500,16967,17253,16805,18668,16976,18190,16446,17890,19101,18427,18236,16628,15871,16686,17407,17110
22.0,18013,16663,17525,16718,17294,18999,19363,18446,18725,16470,17453,20185,19552,16679,16433,16972,16785,16305,17845
28.0,19015,17021,17015,17302,18433,19710,19938,19244,20645,17098,18021,21323,20316,19635,17621,17262,17398,16936,18598
