,A,AB,B,C,D,E,F,G,H
13.0,7127384,18364659,7678203,11749050,9425080,9404990,12967192,7276568,7846124
28.0,8511270,20688815,9150456,13493382,11058670,11076520,14790160,8557594,8490060
41.0,9397040,22629304,9896428,13730996,11149705,12319475,14170310,9511394,9454105
