,A,B,C,D,E,F,G,I,J,K,L
4.0,10717,10771,12092,10164,11750,10127,9585,12910,12910,11554,10634
8.0,10947,11004,12501,10380,12000,10360,9892,13180,13180,11798,10864
13.0,11235,11295,12827,10644,12315,10633,10147,13517,13517,11151,11151
