,A,B,C,E,F,G,H
6.0,5718012,5398785,5738610,5722135,5037684,5772297,5705643
16.0,5557804,5474433,5599134,5583720,5254581,6090846,5676782
24.0,5845825,5644050,5765796,5749229,5268765,6285285,5877631
