,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
7.0,4764820,4867038,4874652,4327422,4870080,5036238,4957137,4285205,4908492,4859001,4446446,4977240,5155524,4870845,4276330,4692240
19.0,5133040,5007897,5262120,4619100,5019800,5441895,5209668,4644820,5451624,5451624,4739162,5208280,5544261,5158062,4526250,5153560
31.0,5555980,5530302,5629284,4885174,5356860,5776911,5666085,4882315,5666085,5666085,5027726,5503540,6005331,5586561,4813090,5339000
