,A1,A3,A4,B1,B2,B3,C1,C2,C3,D1,D2,D3
2.0,610,491,515,380,380,493,380,380,493,380,380,493
3.0,610,491,515,380,380,493,380,380,493,380,380,493
4.0,610,491,515,380,380,493,380,380,493,380,380,493
