,A,B,C,D,E,F,G,H,J,K,L,M
7.0,8179,8999,9160,8382,8340,9341,8304,8389,9321,8321,7780,8930
19.0,8232,8726,8989,9107,8892,8819,8855,9008,9238,8956,8409,9459
31.0,8664,9044,9287,8746,8669,8970,8627,9476,9132,8575,8650,9519
