,A,A & B,AB,B,C,D,E,F,G,G&H,H,I,I&J,J,K,K & L,L,M,N,O,O & P,P,Q,R,S,T,U
3.0,2966695,5190702,5190702,3066592,3010472,2927024,3059760,2947032,2795364,5831112,2889692,3036824,5831112,3066592,3086356,5831112,3119052,2610861,2997344,2789781,4442078,2789781,2799532,2789781,2792608,2815452,2789781
7.0,3045242,5309898,5309898,3020232,3020232,2970456,3090748,3164436,3291560,5989224,3019256,3101728,5989224,3020232,3150772,5989224,3163704,2695773,3148096,2869381,4561080,2685306,2869381,2869381,2816128,2900425,2869381
11.0,2926494,5641944,5641944,3532650,3532650,2674188,3554650,3574725,3758975,6147336,2789226,3556575,6147336,3532650,2860308,6147336,2845260,2939031,3204768,2939031,4685256,2939031,2925698,2904916,2935968,2911370,2939031
