,A,B,C,D,E,F,G,H,I,J,K,L
2.0,8239,8239,8239,8274,8239,8239,7898,6254,8218,8205,6390,6325
3.0,6343,6343,6343,8290,6343,6343,6343,6276,6142,6343,6411,6346
4.0,6365,6365,6365,8318,6365,7307,6365,6295,8274,6365,6436,6368
