,A,B,C,D,E,F,G,H,I,J
5.0,14777,15167,14988,15759,14896,14569,15039,15602,14997,15030
12.0,14625,16333,16449,16632,16310,15381,16312,16416,16469,16445
19.0,16315,16936,17103,17245,16999,16130,17085,17091,16826,16956
