,A1-B,A2,A3,A5,B1,B2,B3,B4,B5,PORTION B2
3.0,,7221600,3476260,,7865942,8349000,3900618,4006080,5761235,5958448
6.0,,7365080,3545245,,8026214,7786581,3978180,4085688,5876150,6076820
9.0,,9236310,3614595,,8186486,8681442,4056159,4165296,5990250,6195192
